id,id_harga_beras,id_group
454,7001,63
455,7013,63
456,7024,63
457,7039,4
458,7061,4
459,7075,63
460,7076,63
461,7098,63
462,7133,4
463,7146,63
464,7157,63
465,7168,63
466,7203,4
467,7216,63
468,7238,63
469,7284,63
470,7337,5
471,7351,63
472,7359,63
473,7370,63
474,7404,5
475,7405,5
476,7415,63
477,7424,63
478,7436,63
479,7448,5
480,7450,5
481,7469,5
482,7485,63
483,7506,63
484,7522,5
485,7524,5
486,7544,5
487,7560,63
488,7561,63
489,7570,63
490,7582,63
491,7642,63
492,7692,6
493,7717,63
494,7730,63
495,7757,6
496,7765,6
497,7789,63
498,7800,63
499,7832,6
500,7852,63
501,7863,63
502,7889,6
503,7916,63
504,7983,63
505,8056,63
506,8087,7
507,8119,63
508,8207,64
509,8266,64
510,8290,8
511,8325,65
512,8333,65
513,8364,8
514,8401,65
515,8431,8
516,8471,65
517,8503,8
518,8512,8
519,8538,65
520,8569,8
521,8640,8
522,8677,66
523,8778,9
524,8792,9
525,8864,9
526,8927,9
527,8933,9
528,8990,9
529,8996,9
530,9088,67
531,9198,10
532,9278,68
533,9408,69
534,9441,11
535,9476,69
536,9477,69
537,9685,70
538,9755,70
539,9904,71
540,9955,12
541,9965,71
542,10036,71
543,10107,71
544,10264,72
545,10338,72
546,10414,72
547,10460,72
548,10485,72
549,10518,13
550,10534,72
551,10556,72
552,10560,72
553,10607,72
554,10631,72
555,10673,72
556,10696,72
557,10772,72
558,10804,14
559,10846,72
560,10871,14
561,10878,14
562,10922,72
563,10947,14
564,10953,14
565,10994,72
566,11018,14
567,11025,14
568,11050,72
569,11067,72
570,11090,14
571,11097,14
572,11133,72
573,11154,14
574,11157,14
575,11204,72
576,11226,14
577,11229,14
578,11235,14
579,11276,72
580,11301,14
581,11308,14
582,11352,72
583,11377,14
584,11384,14
585,11428,72
586,11451,14
587,11462,14
588,11498,72
589,11523,14
590,11530,14
591,11535,14
592,11574,72
593,11585,14
594,11599,14
595,11643,72
596,11668,14
597,11718,72
598,11744,14
599,11768,72
600,11794,72
601,11818,14
602,11842,72
603,11859,72
604,11868,72
605,11889,14
606,11890,14
607,11893,14
608,11901,14
609,11915,72
610,11933,72
611,11940,72
612,11960,14
613,11964,14
614,11985,72
615,12001,72
616,12008,72
617,12029,14
618,12033,14
619,12057,72
620,12074,72
621,12083,72
622,12106,14
623,12130,72
624,12146,72
625,12155,72
626,12175,14
627,12179,14
628,12221,72
629,12230,72
630,12252,14
631,12255,14
632,12280,72
633,12306,72
634,12326,14
635,12330,14
636,12355,72
637,12380,72
638,12401,14
639,12428,72
640,12452,72
641,12472,14
642,12476,14
643,12498,72
644,12524,72
645,12544,14
646,12570,72
647,12594,72
648,12616,14
649,12641,72
650,12664,72
651,12685,14
652,12689,14
653,12736,72
654,12755,14
655,12759,14
656,12806,72
657,12824,14
658,12828,14
659,12865,72
660,12885,14
661,12888,14
662,12938,72
663,12958,14
664,12961,14
665,13008,72
666,13030,14
667,13034,14
668,13079,72
669,13098,14
670,13102,14
671,13123,72
672,13146,72
673,13165,14
674,13169,14
675,13191,72
676,13214,72
677,13232,14
678,13236,14
679,13305,14
680,13308,14
681,13378,14
682,13393,14
683,13447,14
684,13451,14
685,13517,14
686,13521,14
687,13584,14
688,13587,14
689,13653,14
690,13657,14
691,13726,14
692,13729,14
693,13738,14
694,13753,73
695,13799,14
696,13802,14
697,13825,73
698,13870,14
699,13874,14
700,13896,73
701,13942,14
702,13946,14
703,13955,14
704,14013,14
705,14015,14
706,14022,14
707,14076,14
708,14077,14
709,14080,14
710,14145,14
711,14148,14
712,14218,14
713,14222,14
714,14245,74
715,14291,14
716,14294,14
717,14316,74
718,14359,14
719,14362,14
720,14385,74
721,14430,14
722,14434,14
723,14505,14
724,14508,14
725,14578,14
726,14582,14
727,14651,14
728,14653,14
729,14673,75
730,14715,14
731,14873,76
732,14928,15
733,14942,76
734,14962,76
735,15015,76
736,15086,76
737,15134,16
738,15171,76
739,15206,16
740,15240,76
741,15275,16
742,15311,76
743,15345,16
744,15377,76
745,15404,16
746,15411,16
747,15426,16
748,15448,76
749,15499,16
750,15509,76
751,15562,16
752,15632,16
753,15641,16
754,15704,16
755,15839,17
756,16178,18
757,16196,77
758,16242,18
759,16248,18
760,16266,77
761,16277,77
762,16313,18
763,16319,18
764,16349,77
765,16382,18
766,16389,18
767,16391,18
768,16408,77
769,16416,77
770,16425,77
771,16453,18
772,16460,18
773,16462,18
774,16466,18
775,16489,77
776,16498,77
777,16524,18
778,16530,18
779,16559,77
780,16594,18
781,16601,18
782,16603,18
783,16608,18
784,16630,77
785,16639,77
786,16667,19
787,16674,19
788,16704,78
789,16740,19
790,16747,19
791,16775,78
792,16810,19
793,16817,19
794,16846,78
795,16881,19
796,16888,19
797,16916,78
798,16957,19
799,17019,19
800,17053,79
801,17088,19
802,17095,19
803,17113,79
804,17124,79
805,17158,19
806,17165,19
807,17184,79
808,17194,79
809,17229,19
810,17236,19
811,17263,79
812,17299,19
813,17306,19
814,17335,79
815,17368,19
816,17374,19
817,17400,79
818,17498,20
819,17530,80
820,17566,20
821,17572,20
822,17602,80
823,17636,20
824,17643,20
825,17650,20
826,17670,80
827,17702,20
828,17734,80
829,17769,20
830,17776,20
831,17782,20
832,17805,80
833,17850,20
834,18185,21
835,18295,81
836,18357,81
837,18416,81
838,18423,81
839,18484,81
840,18492,81
841,18514,22
842,18537,81
843,18569,23
844,18596,82
845,18603,82
846,18605,82
