row_id,id,cluster_id
619,223866,25
620,224814,20
621,224815,20
622,224816,20
623,224817,21
624,224818,21
625,224819,21
626,224831,1
627,224832,1
628,224833,1
629,224834,1
630,224835,1
631,224836,2
632,224837,2
633,224845,22
634,224848,23
635,224850,24
636,224851,24
637,224852,25
638,225800,20
639,225801,20
640,225802,20
641,225803,21
642,225804,21
643,225805,21
644,225817,1
645,225818,1
646,225819,1
647,225820,1
648,225821,1
649,225822,2
650,225823,2
651,225831,22
652,225834,23
653,225836,24
654,225837,24
655,225838,25
656,226786,20
657,226787,20
658,226788,20
659,226789,21
660,226790,21
661,226791,21
662,226817,22
663,226820,23
664,226822,24
665,226823,24
666,226824,25
667,227808,24
668,227810,25
669,228758,20
670,228759,20
671,228760,20
672,228761,21
673,228762,21
674,228763,21
675,228775,1
676,228776,1
677,228777,1
678,228778,1
679,228779,1
680,228780,2
681,228781,2
682,228789,22
683,228792,23
684,228794,24
685,228795,24
686,228796,25
687,229744,20
688,229745,20
689,229746,20
690,229747,21
691,229748,21
692,229749,21
693,229775,22
694,229778,23
695,229780,24
696,229781,24
697,229782,25
698,230730,20
699,230731,20
700,230732,20
701,230733,21
702,230734,21
703,230735,21
704,230761,22
705,230764,23
706,230766,24
707,230767,24
708,230768,25
709,231716,20
710,231717,20
711,231718,20
712,231719,21
713,231720,21
714,231721,21
715,231733,1
716,231734,1
717,231735,1
718,231736,1
719,231737,1
720,231738,2
721,231739,2
722,231747,22
723,231750,23
724,231752,24
725,231753,24
726,231754,25
727,232702,20
728,232703,20
729,232704,20
730,232705,21
731,232706,21
732,232707,21
733,232733,22
734,232736,23
735,232738,24
736,232739,24
737,232740,25
738,233705,1
739,233706,1
740,233707,1
741,233708,1
742,233709,1
743,233710,2
744,233711,2
745,233724,24
746,233726,25
747,234674,20
748,234675,20
749,234676,20
750,234677,21
751,234678,21
752,234679,21
753,234691,1
754,234692,1
755,234693,1
756,234694,1
757,234695,1
758,234696,2
759,234697,2
760,234705,22
761,234708,23
762,234710,24
763,234711,24
764,234712,25
765,235660,20
766,235661,20
767,235662,20
768,235663,21
769,235664,21
770,235665,21
771,235677,1
772,235678,1
773,235679,1
774,235680,1
775,235681,1
776,235682,2
777,235683,2
778,235691,22
779,235694,23
780,235696,24
781,235697,24
782,235698,25
783,236646,20
784,236647,20
785,236648,20
786,236649,21
787,236650,21
788,236651,21
789,236663,1
790,236664,1
791,236665,1
792,236666,1
793,236667,1
794,236668,2
795,236669,2
796,236677,22
797,236680,23
798,236682,24
799,236683,24
800,236684,25
801,237668,24
802,237670,25
803,238635,1
804,238636,1
805,238637,1
806,238638,1
807,238639,1
808,238640,2
809,238641,2
810,238649,22
811,238654,24
812,238655,24
813,238656,25
814,239604,20
815,239605,20
816,239606,20
817,239607,21
818,239608,21
819,239609,21
820,239621,1
821,239622,1
822,239623,1
823,239624,1
